Tamanho,F1_Macro,Features
9,0.671117312415584,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6709867722501481,wav_detail_lvl5_std + wav_approx_std + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6709674237447728,mfcc_1 + NDSI + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6707906015815711,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
6,0.6706194997823991,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6705781325386321,mfcc_mean + wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
8,0.6704737223489052,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.6703887390756336,wav_detail_lvl5_std + spec_skew + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6703634026753222,wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.6703325617778607,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.6702279800095583,mfcc_mean + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6702031628736153,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
7,0.6702008661478434,wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.6701985207413699,mfcc_mean + wav_detail_lvl5_std + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.670031474428201,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + wav_detail_lvl3_std
7,0.6700229151801265,mfcc_mean + wav_detail_lvl5_std + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.669878398300229,mfcc_mean + wav_approx_std + spec_skew + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.669834782095905,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.6698270124180592,wav_detail_lvl5_std + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
4,0.6697683730716533,wav_detail_lvl5_std + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.6697247070028812,wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + mfcc_var + wav_detail_lvl3_std
7,0.6695844679336552,wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.6695583591474991,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
7,0.6694637490706646,mfcc_mean + wav_approx_std + spec_skew + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6694415862635179,wav_approx_std + spec_skew + mfcc_1 + NDSI + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.669378170340926,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
7,0.6693517558458154,mfcc_mean + wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6693232524828805,wav_detail_lvl5_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6692750728263301,wav_detail_lvl5_std + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6691243363400796,spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6690960486625344,wav_approx_std + mfcc_1 + NDSI + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6690310138285067,wav_detail_lvl5_std + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6690198697753067,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6689464103118622,wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
5,0.66894063642371,mfcc_mean + wav_approx_std + spec_skew + mfcc_1 + wav_detail_lvl3_std
6,0.6688715203233686,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + wav_detail_lvl3_std
7,0.668837738631135,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
7,0.6688067597479256,mfcc_mean + wav_approx_std + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6688030803712632,wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std
5,0.6687997218666693,wav_approx_std + spec_skew + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6687790346989915,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6687653386220329,wav_detail_lvl5_std + spec_skew + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.668755133929691,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
5,0.6686812799234342,wav_detail_lvl5_std + spec_skew + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6685600128338939,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std
7,0.6684713509561517,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6684693689086605,spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.668448218384744,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6684429388094413,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.668428872584702,spec_skew + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6684208082258494,mfcc_mean + wav_detail_lvl5_std + spec_skew + NDSI + mfcc_var + wav_detail_lvl3_std
6,0.668410216492574,mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6683322860962945,mfcc_mean + wav_approx_std + spec_skew + NDSI + mfcc_var + wav_detail_lvl3_std
7,0.6682988021789786,wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.6682866323816381,mfcc_mean + wav_detail_lvl5_std + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
9,0.6682283844968685,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6681194447888695,wav_approx_std + spec_skew + NDSI + mfcc_var + wav_detail_lvl3_std
5,0.6679365069008965,mfcc_mean + wav_approx_std + mfcc_1 + mfcc_var + wav_detail_lvl3_std
6,0.667867437928843,mfcc_mean + wav_detail_lvl5_std + spec_skew + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
7,0.6677450033903296,mfcc_mean + wav_approx_std + mfcc_1 + NDSI + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.667647296866581,wav_approx_std + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6675769496228197,wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std
7,0.6675278346495077,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
4,0.6675237136856202,wav_approx_std + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std
6,0.6674405124817709,wav_detail_lvl5_std + spec_skew + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
9,0.667412539213485,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6673270909821973,mfcc_mean + wav_approx_std + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6672727402557991,wav_detail_lvl5_std + mfcc_1 + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6672450396524118,mfcc_mean + spec_skew + NDSI + mfcc_var + wav_detail_lvl3_std
5,0.6672031706542861,wav_approx_std + spec_skew + mfcc_1 + mfcc_var + wav_detail_lvl3_std
5,0.6671329750424705,NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.667096777160142,mfcc_mean + wav_approx_std + spec_skew + NDSI + spec_kurtosis + mfcc_var + wav_detail_lvl3_std
6,0.66706455950614,wav_detail_lvl5_std + spec_skew + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl4_std
7,0.666911319904386,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6668895276600365,mfcc_mean + wav_detail_lvl5_std + spec_skew + mfcc_1 + wav_detail_lvl3_std
6,0.666842196732841,wav_approx_std + spec_skew + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
8,0.6668144520073545,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + mfcc_1 + spec_kurtosis + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
6,0.6668056231591348,wav_detail_lvl5_std + wav_approx_std + mfcc_1 + mfcc_var + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.666796489039435,mfcc_mean + wav_detail_lvl5_std + wav_approx_std + spec_skew + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std
5,0.6667809212617872,wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std
6,0.6667723847345056,wav_approx_std + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
5,0.6667612299522029,wav_approx_std + mfcc_1 + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
7,0.6667509619505843,wav_detail_lvl5_std + spec_skew + mfcc_1 + NDSI + spec_kurtosis + wav_detail_lvl3_std + wav_detail_lvl4_std
