Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
SGD,0.6561935949105493,0.6279961063952888,0.7470687383261265,0.6554621848739496,0.6753319891206644,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'mfcc_var']",0.6078028747433265,0.5323741007194245,0.7081339712918661,0.4993469223513082,0.7372330547818013,0.6694772344013491,0.8202479338842975,0.6857097951999901,0.5746102449888641,0.7655786350148368,0.45989304812834225,0.6764130180884169,0.7051282051282052,0.5445544554455446,1.0,0.8398582208429426
SGD,0.6544944293201316,0.6276582813169688,0.7455687255328404,0.6539343009931246,0.6912319093022138,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_var', 'wav_detail_lvl3_std']",0.6049382716049383,0.5306859205776173,0.7033492822966507,0.5391911327049852,0.7361623616236163,0.665,0.8243801652892562,0.6980373559188061,0.5717488789237668,0.770392749244713,0.45454545454545453,0.6845437760076484,0.7051282051282052,0.5445544554455446,1.0,0.8431553725774155
SGD,0.6539301182822378,0.6282868467456371,0.7456396216598862,0.6539343009931246,0.6883561346306712,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'wav_detail_lvl3_std']",0.6012269938650306,0.525,0.7033492822966507,0.5314403630082957,0.7366482504604052,0.6644518272425249,0.8264462809917356,0.6958135962123495,0.5727170236753101,0.7791411042944786,0.45276292335115864,0.685052227653341,0.7051282051282052,0.5445544554455446,1.0,0.8411183516486991
SGD,0.6523313797088455,0.6243280649735972,0.7425889559825669,0.6516424751718869,0.6908135268292064,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'mfcc_var', 'wav_detail_lvl3_std']",0.606694560669456,0.5390334572490706,0.69377990430622,0.5443066546636697,0.7324723247232472,0.6616666666666666,0.8202479338842975,0.6960458592904543,0.5695216907675195,0.757396449704142,0.4563279857397504,0.6839237211889042,0.7006369426751592,0.5392156862745098,1.0,0.8389778721737976
SGD,0.646489429303043,0.6201891662447039,0.7422142193110389,0.6508785332314744,0.6708670319587677,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_var']",0.5942622950819673,0.5197132616487455,0.69377990430622,0.48164500460353205,0.737037037037037,0.6677852348993288,0.8223140495867769,0.6876831041033603,0.5714285714285714,0.774390243902439,0.45276292335115864,0.6682325176147702,0.6832298136645962,0.5188679245283019,1.0,0.8459075015134088
SGD,0.6443026518189833,0.613157797015534,0.7296853278066338,0.6432391138273491,0.7106987152985833,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.5831533477321814,0.531496062992126,0.645933014354067,0.5484658078954995,0.7269338303821062,0.6621392190152802,0.8057851239669421,0.6869166934161364,0.5664864864864865,0.7197802197802198,0.46702317290552586,0.6290846413654321,0.7006369426751592,0.5392156862745098,1.0,0.9783277185172655
SGD,0.6442034371380553,0.6102916595493584,0.7343692696739417,0.6348357524828113,0.6741166795169471,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'mfcc_1', 'spec_kurtosis', 'mfcc_var']",0.6157024793388429,0.5418181818181819,0.7129186602870813,0.5144174234462,0.7113207547169811,0.6545138888888888,0.7789256198347108,0.6834293928105313,0.5446623093681917,0.7002801120448179,0.44563279857397503,0.6091347481675937,0.7051282051282052,0.5445544554455446,1.0,0.8894851536434635
SGD,0.6441359054767986,0.6126276620264983,0.737656611143805,0.6447669977081741,0.6837449522599258,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'mfcc_1', 'mfcc_var']",0.5991735537190083,0.5272727272727272,0.69377990430622,0.5115492313724112,0.7252124645892352,0.6678260869565218,0.7933884297520661,0.6801830994591981,0.5689277899343544,0.7365439093484419,0.46345811051693403,0.6340310909007052,0.6832298136645962,0.5188679245283019,1.0,0.9092163873073887
SGD,0.6440635280209979,0.6135625100110214,0.7298980161877713,0.6432391138273491,0.7115238751478237,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.5756929637526652,0.5192307692307693,0.645933014354067,0.549345737294473,0.7311627906976744,0.6649746192893401,0.8119834710743802,0.6894429765794741,0.5642701525054467,0.7254901960784313,0.46167557932263814,0.6286547281487626,0.7051282051282052,0.5445544554455446,1.0,0.9786520585685848
SGD,0.6430764701395963,0.6077206074939566,0.7312679639058755,0.6333078686019863,0.7071025821101762,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.6150627615062761,0.5464684014869888,0.7033492822966507,0.5670907464208225,0.7010506208213945,0.6518650088809946,0.7582644628099173,0.6838897038852587,0.5555555555555556,0.6933333333333334,0.46345811051693403,0.6021398301977889,0.7006369426751592,0.5392156862745098,1.0,0.9752900479368346
