Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
LR,0.9831922964010924,0.9833061016963004,0.9831932773109244,0.9831932773109243,0.9979097210782348,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9830638953040801,0.9906904577191621,0.975553857906799,0.9981013319127474,0.9833206974981046,0.9759217456734387,0.9908326967150497,0.9979097210782348
LR,0.9828099795794638,0.982960409865542,0.9828113063407181,0.9828113063407181,0.9978862722655047,{'C': [1.0]},"['wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9826589595375722,0.9914463452566097,0.974025974025974,0.9980774103705915,0.9829609996213555,0.9744744744744744,0.9915966386554622,0.9978862722655047
LR,0.9828099795794638,0.982960409865542,0.9828113063407181,0.9828113063407181,0.9978895031482605,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9826589595375722,0.9914463452566097,0.974025974025974,0.9980840859186946,0.9829609996213555,0.9744744744744744,0.9915966386554622,0.9978895031482605
LR,0.9828099795794638,0.982960409865542,0.9828113063407181,0.9828113063407181,0.9978835494071232,{'C': [1.0]},"['wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9826589595375722,0.9914463452566097,0.974025974025974,0.9980745000260401,0.9829609996213555,0.9744744744744744,0.9915966386554622,0.9978835494071232
LR,0.9828094779150454,0.9830168057021682,0.9828113063407181,0.9828113063407181,0.9979319077867141,{'C': [1.0]},"['wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9826321883442686,0.9929797191887676,0.972498090145149,0.9981154144172546,0.9829867674858223,0.9730538922155688,0.9931245225362872,0.9979319077867141
LR,0.9828094779150454,0.9830168057021682,0.9828113063407181,0.9828113063407181,0.9979241498351608,{'C': [1.0]},"['wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9826321883442686,0.9929797191887676,0.972498090145149,0.9981072184746391,0.9829867674858223,0.9730538922155688,0.9931245225362872,0.9979241498351608
LR,0.9824280945043657,0.9825656437226685,0.9824293353705118,0.9824293353705118,0.9977716279556266,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl4_std']",0.9822804314329738,0.9906759906759907,0.974025974025974,0.9979614481328999,0.9825757575757575,0.9744552967693464,0.9908326967150497,0.9977716279556266
LR,0.9824276022113894,0.9826197377985235,0.9824293353705118,0.9824293353705118,0.9977556970518886,{'C': [1.0]},"['wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl4_std']",0.9822530864197531,0.9922057677318784,0.972498090145149,0.9979434095436962,0.9826021180030258,0.9730337078651685,0.9923605805958747,0.9977556970518886
LR,0.9824273252844682,0.9826501710460169,0.9824293353705118,0.9824293353705118,0.9979682772888163,{'C': [1.0]},"['wav_detail_lvl5_std', 'wav_approx_std', 'NDSI', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9822393822393822,0.9929742388758782,0.9717341482047365,0.9981477873885394,0.982615268329554,0.9723261032161555,0.9931245225362872,0.9979682772888163
LR,0.9824273252844682,0.9826501710460169,0.9824293353705118,0.9824293353705118,0.9980369309117457,{'C': [1.0]},"['mfcc_mean', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9822393822393822,0.9929742388758782,0.9717341482047365,0.9982194858349892,0.982615268329554,0.9723261032161555,0.9931245225362872,0.9980369309117457
