Algoritmo,F1_Macro_Global,F1_Dry,F1_Macro_Wet,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
XGB,0.7339433684587169,0.9673151750972763,0.675600416799077,0.713313511953768,0.7829156508188312,0.8048128342245989,0.7952034527833767,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl4_std']",0.7027027027027027,0.6638297872340425,0.7464114832535885,0.7636079638950425,0.6495119787045253,0.5692068429237948,0.756198347107438,0.6099312389421548,0.6073298429319371,0.7360406091370558,0.5169340463458111,0.6753838608001859,0.9673151750972763,0.985725614591594,0.9495798319327731,0.9965622925802156,0.7428571428571429,0.611764705882353,0.9454545454545454,0.9305319076992844
XGB,0.7336914599699748,0.96801872074883,0.6751096447752609,0.7132703342078685,0.7838335386351147,0.8048128342245989,0.8017029078082196,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis']",0.6948775055679287,0.65,0.7464114832535885,0.7674410872571336,0.6590509666080844,0.573394495412844,0.7747933884297521,0.6207804981143701,0.5983086680761099,0.7350649350649351,0.5044563279857398,0.6771212122841694,0.96801872074883,0.9888446215139443,0.948051948051948,0.9967432612863201,0.7482014388489209,0.6190476190476191,0.9454545454545454,0.9464284800991047
XGB,0.7328067094977962,0.9691526747364311,0.6737202181881374,0.71298340115713,0.7808859655214848,0.80061115355233,0.8025704150783521,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'NDSI', 'spec_kurtosis']",0.6929824561403509,0.6396761133603239,0.7559808612440191,0.7653945333902624,0.6491688538932633,0.5629742033383915,0.7665289256198347,0.6194345562119232,0.5823591923485654,0.7210526315789474,0.48841354723707664,0.6749941781510187,0.9691526747364311,0.9912140575079872,0.948051948051948,0.9968348646320236,0.7703703703703704,0.65,0.9454545454545454,0.9561939430065335
XGB,0.728013543738838,0.9702892885066459,0.667444607546886,0.7049761500527094,0.786687294317466,0.806340718105424,0.7901604678929598,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.6991150442477876,0.6502057613168725,0.7559808612440191,0.7466743680256456,0.66784140969163,0.5821812596006144,0.7830578512396694,0.6206491667366957,0.5953389830508474,0.7336814621409922,0.5008912655971479,0.6726323570352098,0.9702892885066459,0.9935948759007206,0.948051948051948,0.9968657551026476,0.7074829931972789,0.5652173913043478,0.9454545454545454,0.9139806925646
XGB,0.7279072313098991,0.9733750978856696,0.6665402646659566,0.7060842930392095,0.7861476613263836,0.8082505729564553,0.8021717749309365,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_approx_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7294117647058823,0.7175925925925926,0.7416267942583732,0.7853844861751975,0.66431718061674,0.5791090629800307,0.7789256198347108,0.6210563619008035,0.5971074380165289,0.7100737100737101,0.5151515151515151,0.6713424603729485,0.9733750978856696,0.9983935742971888,0.9495798319327731,0.9982600543766389,0.6753246753246753,0.5252525252525253,0.9454545454545454,0.9348155118290947
XGB,0.7259982926445682,0.9717425431711146,0.6645622300129316,0.7028859642962868,0.7841008939460952,0.8105423987776929,0.7916163596017235,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.672645739910314,0.6329113924050633,0.7177033492822966,0.7087641486342425,0.6947368421052632,0.6036585365853658,0.8181818181818182,0.6723182121739069,0.6016771488469602,0.7302798982188295,0.5115864527629234,0.6760212709540832,0.9717425431711146,0.9991928974979822,0.9457601222307105,0.9966303008180559,0.6891891891891891,0.5483870967741935,0.9272727272727272,0.904347865428329
XGB,0.7259560805566208,0.9774669774669774,0.6630783563290317,0.7067734181407616,0.7875434453903354,0.8151260504201681,0.8032809587060395,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'NDSI', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7251732101616628,0.7008928571428571,0.7511961722488039,0.789465930004684,0.6713906111603188,0.5875968992248062,0.7830578512396694,0.6278391182874986,0.614240170031881,0.7605263157894737,0.5151515151515151,0.7041846801491417,0.9774669774669774,0.9944664031620554,0.961038961038961,0.9986921486848653,0.6415094339622641,0.49038461538461536,0.9272727272727272,0.8962229164040085
XGB,0.7258458925299829,0.967691708836123,0.665384438453448,0.7062095177127721,0.7719035313124815,0.7987012987012987,0.8022345149395189,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl4_std']",0.6923076923076923,0.6566523605150214,0.7320574162679426,0.7695324918700087,0.6401414677276747,0.5595054095826894,0.7479338842975206,0.6255303262433373,0.5899581589958159,0.7139240506329114,0.5026737967914439,0.6795291363586262,0.967691708836123,0.9865079365079366,0.9495798319327731,0.9966631817455174,0.7391304347826086,0.6144578313253012,0.9272727272727272,0.939917438480105
XGB,0.7252842084581209,0.9702660406885759,0.664038750400507,0.7034100134079033,0.7861413256037517,0.8086325439266616,0.7899479803590357,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'wav_detail_lvl3_std']",0.6923076923076923,0.6566523605150214,0.7320574162679426,0.7351940439671856,0.6701846965699209,0.5834609494640123,0.7871900826446281,0.6247769075818848,0.6139240506329114,0.751937984496124,0.5187165775401069,0.6779625891873268,0.9702660406885759,0.9943865276663993,0.9472880061115355,0.9969116416645467,0.6797385620915033,0.5306122448979592,0.9454545454545454,0.9148947193942343
XGB,0.7248712362152331,0.9713837710701686,0.6632431025014992,0.7011586961652556,0.7840337231021159,0.8021390374331551,0.805253112111996,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_mean', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.7272727272727273,0.6926406926406926,0.7655502392344498,0.8111059903639674,0.6549604916593503,0.5694656488549619,0.7706611570247934,0.6219058592230245,0.5774058577405857,0.6987341772151898,0.4919786096256685,0.6840307914085135,0.9713837710701686,0.9975845410628019,0.946524064171123,0.9975144206208814,0.6933333333333334,0.5473684210526316,0.9454545454545454,0.9117084989435935
