Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
LR,0.721435093316527,0.6878253782028129,0.7844702300232838,0.6951871657754011,0.7988230355129841,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7510373443983402,0.663003663003663,0.8660287081339713,0.7451355377643318,0.7088607594936709,0.6703499079189686,0.7520661157024794,0.7585344358768106,0.6406570841889117,0.7554479418886199,0.5561497326203209,0.7366692326079767,0.7851851851851852,0.6625,0.9636363636363636,0.9549529358028174
LR,0.7212537000287317,0.6884685195464839,0.7847538145314672,0.6951871657754011,0.7987029872360913,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7510373443983402,0.663003663003663,0.8660287081339713,0.7463408285954382,0.7111111111111111,0.6678765880217786,0.7603305785123967,0.7576875858986949,0.6376811594202898,0.7604938271604939,0.5490196078431373,0.7387044487356654,0.7851851851851852,0.6625,0.9636363636363636,0.9520790857145667
LR,0.7204647973186191,0.6860944401883888,0.7840235311175363,0.6959511077158136,0.7985598615693165,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7484407484407485,0.6617647058823529,0.861244019138756,0.7457060362363397,0.7091087169441724,0.6741154562383612,0.7479338842975206,0.7592586478672291,0.6448979591836734,0.7541766109785203,0.5632798573975044,0.7374922307166365,0.7794117647058824,0.654320987654321,0.9636363636363636,0.9517825314570608
LR,0.7200193459103513,0.6877050800053623,0.7821013398834957,0.6898395721925134,0.8046537917396973,{'C': [1.0]},"['wav_detail_lvl5_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7489711934156379,0.6570397111913358,0.8708133971291866,0.7521931744478743,0.7040618955512572,0.6618181818181819,0.7520661157024794,0.7660688453043143,0.6300518134715026,0.7524752475247525,0.5418894830659536,0.7428144005226176,0.7969924812030075,0.6794871794871795,0.9636363636363636,0.9575387466839831
LR,0.7178004575455819,0.6846240952568754,0.7787681558051669,0.6860198624904508,0.803003319062344,{'C': [1.0]},"['wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7494824016563147,0.6605839416058394,0.8660287081339713,0.7470467096322807,0.6984435797665369,0.6599264705882353,0.7417355371900827,0.7659434214714982,0.6262833675564682,0.738498789346247,0.5436720142602496,0.7392890060741562,0.7969924812030075,0.6794871794871795,0.9636363636363636,0.9597341390714409
LR,0.7164953169014865,0.6819631427971456,0.7786961935709473,0.6875477463712758,0.803175513958773,{'C': [1.0]},"['wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.75,0.6642066420664207,0.861244019138756,0.7510592061186788,0.6980392156862745,0.664179104477612,0.7355371900826446,0.7657381599239135,0.6327568667344863,0.7369668246445498,0.5543672014260249,0.7399789668505523,0.7851851851851852,0.6625,0.9636363636363636,0.9559257229419472
LR,0.71280716397732,0.6791592567356503,0.7693617856015829,0.6898395721925134,0.7848389070717998,{'C': [1.0]},"['mfcc_mean', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7122153209109731,0.6277372262773723,0.8229665071770335,0.7333039473504431,0.7016129032258065,0.6850393700787402,0.71900826446281,0.7409259281200337,0.6554455445544555,0.7371937639198218,0.5900178253119429,0.7203918850100923,0.7819548872180451,0.6666666666666666,0.9454545454545454,0.9447338678066302
LR,0.7124881764846015,0.6783701522676088,0.7796115531902191,0.6860198624904508,0.7911284204260097,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7257731958762886,0.6376811594202898,0.8421052631578947,0.7061542206782477,0.7093023255813954,0.6678832116788321,0.756198347107438,0.7575378430456986,0.6265560165975104,0.749379652605459,0.5383244206773619,0.7311763469905705,0.7883211678832117,0.6585365853658537,0.9818181818181818,0.9696452709895217
LR,0.7124229447078446,0.6793934179116764,0.7732814352361215,0.6852559205500381,0.7905734344027121,{'C': [1.0]},"['wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7310924369747899,0.651685393258427,0.8325358851674641,0.7312111863244988,0.7029126213592233,0.663003663003663,0.7479338842975206,0.7666093417126514,0.6305015353121801,0.7403846153846154,0.5490196078431373,0.7038965150558636,0.7851851851851852,0.6625,0.9636363636363636,0.9605766945178346
LR,0.7121441811866546,0.6780116069046986,0.7709754454195772,0.679144385026738,0.7917794215580212,{'C': [1.0]},"['spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7375,0.6531365313653137,0.84688995215311,0.7383766072673326,0.6870681145113524,0.6578449905482041,0.71900826446281,0.7508981220068139,0.6270161290322581,0.7215777262180975,0.5543672014260249,0.7243652398858051,0.7969924812030075,0.6794871794871795,0.9636363636363636,0.953477717072133
LR,0.7121335130122977,0.6783694122699615,0.774878463782207,0.6913674560733384,0.7857855935819009,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'spec_skew', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7261146496815286,0.6526717557251909,0.8181818181818182,0.7286907792428177,0.7127555988315482,0.6740331491712708,0.756198347107438,0.758205604224197,0.6415478615071283,0.7482185273159145,0.5614973262032086,0.700776363296221,0.7681159420289855,0.6385542168674698,0.9636363636363636,0.9554696275643677
LR,0.71139165533308,0.6795421985857676,0.7738971121288882,0.6875477463712758,0.774739827450767,{'C': [1.0]},"['mfcc_mean', 'wav_detail_lvl5_std', 'NDSI', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7151767151767152,0.6323529411764706,0.8229665071770335,0.6819303524260859,0.7179980750721848,0.6720720720720721,0.7706611570247934,0.753640564264686,0.6272066458982347,0.7512437810945274,0.5383244206773619,0.6914906762143365,0.7851851851851852,0.6625,0.9636363636363636,0.9718977168979596
