Algorithm,F1_Macro_Global,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Best_Hyperparameters,Features_List,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC
XGB,0.9344956728576275,0.9278426812515379,0.9421443537542609,0.9507257448433919,0.9541929553256159,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_skew', 'mfcc_1', 'mfcc_2']",0.8913443830570903,0.8673835125448028,0.9166666666666666,0.9246531379201777,0.9394650398873768,0.921731123388582,0.9578947368421052,0.9407796230296603,0.9726775956284153,0.994413407821229,0.9518716577540107,0.9971461050270097
XGB,0.9317463965718736,0.9247740737936817,0.9396568515763563,0.9476699770817418,0.9583507691144212,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_kurtosis', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8897058823529411,0.8642857142857143,0.9166666666666666,0.9327713998639684,0.9355294117647058,0.9203703703703704,0.9511961722488038,0.9449045094628037,0.9700038955979743,0.9896661367249603,0.9511077158135982,0.9973763980164913
XGB,0.9317463965718736,0.9247740737936817,0.9396568515763563,0.9476699770817418,0.9583507691144212,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_kurtosis', 'mfcc_var', 'mfcc_2']",0.8897058823529411,0.8642857142857143,0.9166666666666666,0.9327713998639684,0.9355294117647058,0.9203703703703704,0.9511961722488038,0.9449045094628037,0.9700038955979743,0.9896661367249603,0.9511077158135982,0.9973763980164913
XGB,0.9317463965718736,0.9247740737936817,0.9396568515763563,0.9476699770817418,0.9583507691144212,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_kurtosis', 'mfcc_std', 'mfcc_2']",0.8897058823529411,0.8642857142857143,0.9166666666666666,0.9327713998639684,0.9355294117647058,0.9203703703703704,0.9511961722488038,0.9449045094628037,0.9700038955979743,0.9896661367249603,0.9511077158135982,0.9973763980164913
XGB,0.931613065351618,0.9288622341579532,0.9349625177024556,0.9503437738731857,0.9544284051754651,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_kurtosis', 'mfcc_1', 'mfcc_2']",0.8818011257035647,0.8736059479553904,0.8901515151515151,0.9251281948602889,0.9391385767790262,0.919340054995417,0.9598086124401913,0.9407790810565562,0.9738994935722634,0.9936406995230525,0.9549274255156608,0.9973779396095506
XGB,0.93121382744767,0.9217944586033932,0.9419459968995572,0.9514896867838044,0.9543136009946188,"{'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}","['NDSI', 'mfcc_1', 'mfcc_2']",0.8768115942028986,0.8402777777777778,0.9166666666666666,0.9216555599173816,0.9397247271001424,0.9322033898305084,0.9473684210526315,0.9455345004457113,0.9771051610399689,0.9929022082018928,0.9618029029793735,0.9957507426207632
XGB,0.9309328687061548,0.9215002728510183,0.9416913495860864,0.9511077158135982,0.9542768300631957,"{'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}","['NDSI', 'mfcc_1', 'mfcc_var', 'mfcc_2']",0.8768115942028986,0.8402777777777778,0.9166666666666666,0.9221150769051724,0.9392789373814042,0.9313264346190028,0.9473684210526315,0.9452795539782183,0.9767080745341615,0.9928966061562746,0.961038961038961,0.9954358593061965
XGB,0.9309328687061548,0.9215002728510183,0.9416913495860864,0.9511077158135982,0.9542768300631957,"{'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}","['NDSI', 'mfcc_1', 'mfcc_std', 'mfcc_2']",0.8768115942028986,0.8402777777777778,0.9166666666666666,0.9221150769051724,0.9392789373814042,0.9313264346190028,0.9473684210526315,0.9452795539782183,0.9767080745341615,0.9928966061562746,0.961038961038961,0.9954358593061965
XGB,0.9309328687061548,0.9215002728510183,0.9416913495860864,0.9511077158135982,0.9542768300631957,"{'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}","['NDSI', 'mfcc_1', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8768115942028986,0.8402777777777778,0.9166666666666666,0.9221150769051724,0.9392789373814042,0.9313264346190028,0.9473684210526315,0.9452795539782183,0.9767080745341615,0.9928966061562746,0.961038961038961,0.9954358593061965
XGB,0.9304751308650215,0.9269519706648536,0.9346435384361081,0.9499618029029794,0.9532603131039646,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['spec_skew', 'spec_kurtosis', 'mfcc_1', 'mfcc_2']",0.8785046728971962,0.8671586715867159,0.8901515151515151,0.9230709904318901,0.9386416861826697,0.9192660550458716,0.9588516746411483,0.939407600889438,0.9742790335151987,0.994431185361973,0.9549274255156608,0.9973023479905658
