Algoritmo,F1_Macro_Global,F1_Dry,F1_Macro_Wet,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
RF,0.4629537936067325,0.897799511002445,0.3542423642578043,0.4615592716801401,0.48545454545454547,0.6495683087861859,0.44763217758129137,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'mfcc_5']",0.3393939393939394,0.36363636363636365,0.3181818181818182,0.4031165265739861,0.44776119402985076,0.4945054945054945,0.4090909090909091,0.3945542720333235,0.38153846153846155,0.40129449838187703,0.36363636363636365,0.3228449495823255,0.897799511002445,0.8701421800947867,0.9272727272727272,0.9638977235194117,0.2482758620689655,0.1782178217821782,0.4090909090909091,0.15374741619741025
RF,0.4507339606421025,0.8982968369829684,0.3388432415568861,0.45597630235033354,0.4697246660149886,0.6475368207211782,0.4397909509671572,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl4_std', 'mfcc_5']",0.36401673640167365,0.40654205607476634,0.32954545454545453,0.3948942444877523,0.4340567612687813,0.483271375464684,0.3939393939393939,0.38872164541372833,0.37325038880248834,0.3973509933774834,0.3519061583577713,0.3226958414756915,0.8982968369829684,0.8666666666666667,0.9323232323232323,0.959491635168956,0.18404907975460122,0.12605042016806722,0.3409090909090909,0.13315138828965756
RF,0.4499132520969651,0.9032258064516129,0.33658511350830317,0.4543504050977115,0.4666177908113392,0.6475368207211782,0.4393347109798739,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'mfcc_5']",0.3813387423935091,0.4104803493449782,0.3560606060606061,0.42782803511980577,0.4451939291736931,0.5019011406844106,0.4,0.39787071039578714,0.3425925925925926,0.36156351791530944,0.3255131964809384,0.32683357819230413,0.9032258064516129,0.875,0.9333333333333333,0.952894677789897,0.17721518987341772,0.12280701754385964,0.3181818181818182,0.09124655340157567
RF,0.4496276773370947,0.9102564102564102,0.33447049410726576,0.4528365359579232,0.46521342456826337,0.6485525647536821,0.43218214163032914,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_std', 'mfcc_5']",0.33853006681514475,0.41081081081081083,0.2878787878787879,0.35301311433134996,0.4380952380952381,0.46,0.41818181818181815,0.40310505864905594,0.36681222707423583,0.36416184971098264,0.36950146627565983,0.325284510234211,0.9102564102564102,0.8892100192678227,0.9323232323232323,0.9672540457069516,0.19444444444444445,0.14,0.3181818181818182,0.11225397923007685
RF,0.44953441155287494,0.9022113022113022,0.3363651888882681,0.4497922988992751,0.46820625610948186,0.6449974606399187,0.43571810384735155,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_5']",0.3408624229979466,0.3721973094170404,0.3143939393939394,0.35783893159481,0.4491114701130856,0.4809688581314879,0.4212121212121212,0.4007686254305882,0.3554868624420402,0.3758169934640523,0.33724340175953077,0.32879475720727674,0.9022113022113022,0.8784688995215311,0.9272727272727272,0.9657350623211162,0.2,0.14150943396226415,0.3409090909090909,0.1254531426829664
RF,0.44930066537008695,0.9041095890410958,0.33559843445233467,0.45318407365174085,0.4676001955034213,0.6470289487049263,0.4277268264850794,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_5']",0.3487858719646799,0.41798941798941797,0.29924242424242425,0.34516736929074204,0.44904458598726116,0.47315436241610737,0.42727272727272725,0.414063211643061,0.3484848484848485,0.3605015673981191,0.33724340175953077,0.3203318657455341,0.9041095890410958,0.8766603415559773,0.9333333333333333,0.9658314781636058,0.19607843137254902,0.13761467889908258,0.3409090909090909,0.09324020758245417
RF,0.44916761128644545,0.9026548672566371,0.3357957972938976,0.45278846906020487,0.46799608993157377,0.6460132046724225,0.4291614497321833,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mae', 'mfcc_5']",0.3333333333333333,0.4111111111111111,0.2803030303030303,0.3677275046003004,0.45865834633385333,0.47266881028938906,0.44545454545454544,0.38562503686416394,0.3538230884557721,0.3619631901840491,0.3460410557184751,0.32113177480281707,0.9026548672566371,0.8793103448275862,0.9272727272727272,0.9546109002146721,0.19736842105263158,0.1388888888888889,0.3409090909090909,0.11671203217896259
RF,0.44519882268500605,0.908284023668639,0.32942752243909784,0.44599373965510125,0.45998533724340174,0.6455053326561706,0.4311170686264987,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.35343035343035345,0.391705069124424,0.32196969696969696,0.35156230433657826,0.42452830188679247,0.4411764705882353,0.4090909090909091,0.40547758425474567,0.3616692426584235,0.38235294117647056,0.34310850439882695,0.3250872205573528,0.908284023668639,0.8872832369942196,0.9303030303030303,0.967666801593523,0.1780821917808219,0.12745098039215685,0.29545454545454547,0.10579143239029395
RF,0.44494449549587956,0.9027504911591355,0.33049299658006553,0.44536601737760134,0.45840827631150216,0.6434738445911631,0.4256277912458658,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_std', 'mfcc_5']",0.3512396694214876,0.38636363636363635,0.32196969696969696,0.341620249388174,0.432,0.4576271186440678,0.4090909090909091,0.3919627870429455,0.3516819571865443,0.36741214057507987,0.33724340175953077,0.3233041259616742,0.9027504911591355,0.878585086042065,0.9282828282828283,0.9676245389306982,0.18705035971223022,0.1368421052631579,0.29545454545454547,0.10362725490583664
RF,0.44421023110328894,0.9068506653523903,0.3285501225410135,0.4449956023321132,0.4574910394265233,0.6424581005586593,0.4256675625030713,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.3757828810020877,0.4186046511627907,0.3409090909090909,0.3542311362301394,0.39807383627608345,0.4232081911262799,0.37575757575757573,0.3798686387770953,0.3532934131736527,0.36085626911314983,0.3460410557184751,0.3155871048722408,0.9068506653523903,0.8854667949951877,0.9292929292929293,0.9674197479399587,0.18705035971223022,0.1368421052631579,0.29545454545454547,0.1112311846959227
