Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Melhores_Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.9206169858210282,0.9234426001300646,0.9205538531381228,0.9207719654647029,0.9789512231807478,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9241245136186771,0.8911819887429644,0.9595959595959596,0.9794471763020358,0.9171094580233794,0.955703211517165,0.881511746680286,0.9789512231807478
RF,0.9174900981288878,0.9217503700460734,0.9174554534105096,0.9177247333671915,0.9775236934431696,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'mfcc_8', 'ACI']",0.9218900675024108,0.8819188191881919,0.9656565656565657,0.9754076947063894,0.9130901287553648,0.9615819209039548,0.8692543411644535,0.9775236934431696
RF,0.9170196070320045,0.9205135008584361,0.9169731018045625,0.9172168613509396,0.9793688666555446,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9210653753026634,0.8846511627906977,0.9606060606060606,0.9801745091913392,0.9129738387613454,0.9563758389261745,0.8733401430030644,0.9793688666555446
RF,0.9170027833226143,0.9208260874092742,0.9169617523550108,0.9172168613509396,0.977425736026126,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9212179797003384,0.8832252085264134,0.9626262626262626,0.9762708046422979,0.9127875869448903,0.9584269662921349,0.8712972420837589,0.977425736026126
RF,0.9165146476053379,0.9199255121042831,0.916468051299512,0.9167089893346877,0.9751803422591159,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'mfcc_8']",0.9205426356589147,0.8845437616387337,0.9595959595959596,0.9707648291517057,0.9124866595517609,0.9553072625698324,0.8733401430030644,0.9751803422591159
RF,0.9164892571558618,0.920393804941049,0.9164510271251844,0.9167089893346877,0.9777508490050304,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_8', 'ACI']",0.9207729468599034,0.8824074074074074,0.9626262626262626,0.9780170428945459,0.9122055674518201,0.9583802024746907,0.8702757916241062,0.9777508490050304
RF,0.9164622952923183,0.9208947815187217,0.9164340029508569,0.9167089893346877,0.9781397101454432,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9210019267822736,0.8802946593001841,0.9656565656565657,0.9799617029307808,0.9119226638023631,0.9614949037372593,0.8672114402451481,0.9781397101454432
RF,0.9160555283823704,0.9185110256718996,0.9159970491431166,0.9162011173184358,0.9787535859278356,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_8', 'ACI']",0.9195514383227694,0.8887841658812441,0.9525252525252526,0.9772253558141164,0.9125596184419714,0.948237885462555,0.8794688457609806,0.9787535859278356
RF,0.9160014427011088,0.9194891004630352,0.9159573260696856,0.9162011173184358,0.9796155576609994,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9200968523002422,0.8837209302325582,0.9595959595959596,0.9803346695905731,0.9119060331019755,0.9552572706935123,0.8723186925434117,0.9796155576609994
RF,0.915504747290291,0.9187528078670195,0.9154579502894109,0.9156932453021839,0.9801031891830473,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'zcr_mean', 'mfcc_8', 'ACI']",0.9194956353055286,0.8843283582089553,0.9575757575757575,0.9804698658421158,0.9115138592750534,0.9531772575250836,0.8733401430030644,0.9801031891830473
