Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
XGB,0.3777550585192345,0.37211184058174746,0.4025354349951124,0.4218590398365679,0.36039379961964924,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'mfcc_5']",0.3815028901734104,0.38823529411764707,0.375,0.4379877713878009,0.5353383458646617,0.5313432835820896,0.5393939393939394,0.5360776185828734,0.3829113924050633,0.41580756013745707,0.3548387096774194,0.36786514006518506,0.2112676056338028,0.15306122448979592,0.3409090909090909,0.0996446684427377
XGB,0.37738243255627124,0.385329455986986,0.4573374877810361,0.40755873340143,0.3914547455961309,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'mfcc_5']",0.4087301587301587,0.42916666666666664,0.39015151515151514,0.4738257471326187,0.5164179104477612,0.5088235294117647,0.5242424242424243,0.4764958511470657,0.3460837887067395,0.4567307692307692,0.2785923753665689,0.4221033875487733,0.23829787234042554,0.14659685863874344,0.6363636363636364,0.19339399655606604
XGB,0.3753624418969029,0.3713558710029761,0.3967069892473118,0.42288049029622066,0.36264117470078716,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'rms_mean', 'mae', 'mfcc_5']",0.3737166324435318,0.4080717488789238,0.3446969696969697,0.4387790691447965,0.5408618127786032,0.5306122448979592,0.5515151515151515,0.5366819449003336,0.38543247344461307,0.39937106918238996,0.3724340175953079,0.38156377313695516,0.2014388489208633,0.14736842105263157,0.3181818181818182,0.09353991162106323
XGB,0.3747633603799753,0.3703261635632289,0.396969696969697,0.4218590398365679,0.35837632562212607,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl4_std', 'mfcc_5']",0.3794466403162055,0.39669421487603307,0.36363636363636365,0.4271472800743137,0.5367316341829086,0.5311572700296736,0.5424242424242425,0.53769540487046,0.3856920684292379,0.4105960264900662,0.36363636363636365,0.3756467300162649,0.19718309859154928,0.14285714285714285,0.3181818181818182,0.09301588752746569
XGB,0.37379299291399987,0.37192483299626156,0.3953018084066471,0.42594484167517876,0.350393999459686,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_6', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_5']",0.4336917562724014,0.41156462585034015,0.4583333333333333,0.38480844082972787,0.5339366515837104,0.5315315315315315,0.5363636363636364,0.5099467850653763,0.3608768971332209,0.4246031746031746,0.31378299120234604,0.4133972601420763,0.16666666666666666,0.12,0.2727272727272727,0.09342351180156361
XGB,0.3723652791430631,0.3704553815868716,0.39438538611925705,0.4218590398365679,0.36979985914704655,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'rms_mean', 'mfcc_5']",0.3577586206896552,0.415,0.3143939393939394,0.454512469129156,0.5491923641703378,0.5327635327635327,0.5666666666666667,0.5451674591244517,0.38392857142857145,0.38972809667673713,0.3782991202346041,0.3808479720875059,0.19858156028368795,0.14432989690721648,0.3181818181818182,0.09867153624707255
XGB,0.37203821050126995,0.36951051807076196,0.3934139784946236,0.4177732379979571,0.3468875843185226,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'mae', 'mfcc_std', 'mfcc_5']",0.38289205702647655,0.41409691629955947,0.3560606060606061,0.404143003616342,0.5229357798165137,0.5277777777777778,0.5181818181818182,0.5191755645997063,0.38922155688622756,0.39755351681957185,0.3812316715542522,0.37471191481320054,0.19310344827586207,0.13861386138613863,0.3181818181818182,0.08951985424484157
XGB,0.37199152921738354,0.3707165992056524,0.3965786901270772,0.4167517875383044,0.3401151422815698,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.3757828810020877,0.4186046511627907,0.3409090909090909,0.3779172826466328,0.5,0.5062111801242236,0.49393939393939396,0.5135297035540938,0.4148148148148148,0.41916167664670656,0.41055718475073316,0.3793497139086181,0.19736842105263158,0.1388888888888889,0.3409090909090909,0.08966386901693449
XGB,0.3709132320529895,0.3667247540379805,0.38960777126099705,0.4177732379979571,0.35999326925989505,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'mae', 'mfcc_5']",0.39285714285714285,0.4125,0.375,0.45076917360071683,0.5217391304347826,0.516320474777448,0.5272727272727272,0.5262191726485361,0.3778801843317972,0.3967741935483871,0.36070381231671556,0.3708368616151687,0.19117647058823528,0.14130434782608695,0.29545454545454547,0.09214786917515838
XGB,0.3698851664202418,0.3676242382918079,0.3879398826979472,0.4177732379979571,0.35304441157698935,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_5']",0.37627811860940696,0.4088888888888889,0.3484848484848485,0.3965184518381224,0.5114854517611026,0.5170278637770898,0.5060606060606061,0.533315277739112,0.40472673559822747,0.40773809523809523,0.40175953079178883,0.3854501239539946,0.18705035971223022,0.1368421052631579,0.29545454545454547,0.09689379277672847
