Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.9134517131249948,0.9170042086946386,0.9134150493701055,0.9136617572371762,0.9669678980695154,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.9177153920619555,0.8810408921933085,0.9575757575757575,0.9540446413467095,0.9091880341880342,0.9529675251959686,0.8692543411644535,0.9669678980695154
RF,0.9129293002955035,0.9167253282794097,0.9128986494155034,0.9131538852209243,0.9682907033343156,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_1', 'mae', 'mfcc_5']",0.9173513774770421,0.8795180722891566,0.9585858585858585,0.9499002554050012,0.9085072231139647,0.9539325842696629,0.8672114402451481,0.9682907033343156
RF,0.9114063033337125,0.9151091412996175,0.911377823175576,0.9116302691721686,0.9689602231613366,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.9158607350096711,0.87847866419295,0.9565656565656566,0.9658487843064143,0.906951871657754,0.9517396184062851,0.8661899897854954,0.9689602231613366
RF,0.9109106210466305,0.9143670984860309,0.9108784473953013,0.9111223971559167,0.9710689190051942,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.9152542372881356,0.8790697674418605,0.9545454545454546,0.9632610879569813,0.9065670048051254,0.9496644295302014,0.8672114402451481,0.9710689190051942
RF,0.9109016829840121,0.9145192383759904,0.9108727726705255,0.9111223971559167,0.9653015924987991,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.915336236090953,0.8783658310120706,0.9555555555555556,0.9515038304977878,0.9064671298770711,0.9506726457399103,0.8661899897854954,0.9653015924987991
RF,0.9104059632837771,0.9137802607076351,0.9103733968902508,0.9106145251396648,0.9705044338212085,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_1', 'mfcc_5']",0.9147286821705426,0.8789571694599627,0.9535353535353536,0.9623454053664264,0.9060832443970117,0.9486033519553073,0.8672114402451481,0.9705044338212085
RF,0.9099267371150287,0.912771161451071,0.9098853705595278,0.9101066531234129,0.9676517522821906,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_5']",0.9139523578026252,0.8809746954076851,0.9494949494949495,0.9565848248462456,0.9059011164274322,0.9445676274944568,0.8702757916241062,0.9676517522821906
RF,0.9099099727878812,0.9130498524576869,0.9098740211099762,0.9101066531234129,0.9675300098440942,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_5']",0.9141193595342066,0.8795518207282913,0.9515151515151515,0.9574855170619928,0.9057005860415557,0.9465478841870824,0.8682328907048008,0.9675300098440942
RF,0.9098647711646304,0.9138086398146528,0.909845647486097,0.9101066531234129,0.9673772572677499,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_std', 'mfcc_5']",0.914534041525833,0.876040703052729,0.9565656565656566,0.9551736611751968,0.9051955008034279,0.9515765765765766,0.8631256384065373,0.9673772572677499
RF,0.909378852566171,0.9129058309778242,0.9093519464305981,0.909598781107161,0.9649423328679717,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.9138431752178122,0.8773234200743495,0.9535353535353536,0.9467126869392046,0.9049145299145299,0.948488241881299,0.8651685393258427,0.9649423328679717
